,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,Barrow,13,AR,1565562735,59,-38.31,-60.23,47.87,5.35
1,Haines Junction,100,CA,1565562737,37,60.75,-137.51,63.35,1.97
2,Busselton,0,AU,1565562738,45,-33.64,115.35,53.01,21.39
3,Kaitangata,54,NZ,1565562739,88,-46.28,169.85,44.01,4.0
4,Bredasdorp,28,ZA,1565562740,76,-34.53,20.04,54.0,10.29
5,Maceio,40,BR,1565562742,69,-9.67,-35.74,77.0,4.7
6,Marsberg,0,DE,1565562743,63,51.45,8.86,64.0,6.93
7,Jerantut,100,MY,1565562744,94,3.94,102.37,73.43,0.63
8,Rikitea,99,PF,1565562746,83,-23.12,-134.97,72.53,18.34
9,Ust-Maya,31,RU,1565562747,88,60.42,134.54,58.13,1.81
10,Bethel,75,US,1565562748,88,60.79,-161.76,64.4,9.17
11,Vila Franca do Campo,75,PT,1565562749,88,37.72,-25.43,68.0,12.75
12,Puerto Ayora,20,EC,1565562457,64,-0.74,-90.35,75.2,17.22
13,Sao Felix do Xingu,0,BR,1565562752,40,-6.64,-51.99,74.87,1.52
14,Kodiak,1,US,1565562753,66,39.95,-94.76,84.99,5.82
15,Mataura,72,NZ,1565562754,94,-46.19,168.86,46.0,3.0
16,Cape Town,75,ZA,1565562714,87,-33.93,18.42,55.0,11.41
17,Qaanaaq,95,GL,1565562757,67,77.48,-69.36,44.63,1.52
18,Shelburne,20,CA,1565562541,42,44.08,-80.2,82.99,6.93
19,Bluff,0,AU,1565562759,41,-23.58,149.07,59.75,2.13
20,Bambous Virieux,75,MU,1565562760,73,-20.34,57.76,72.0,13.87
21,Scarborough,44,GB,1565562623,76,54.28,-0.41,57.0,12.75
22,Clyde River,90,CA,1565562763,93,70.47,-68.59,42.8,16.11
23,Longyearbyen,20,NO,1565562764,75,78.22,15.63,41.0,8.05
24,Lebu,75,ET,1565562709,82,8.96,38.73,59.0,6.93
25,Hermanus,17,ZA,1565562766,79,-34.42,19.24,54.0,5.01
